lizard,year,average_dist
100,2018,18.06162889
2,2018,12.75659646
4,2018,6.201208166
7,2018,16.88469804
9,2018,48.51018792
12,2018,42.34583963
13,2018,24.41104245
16,2018,39.16721376
19,2018,36.92819567
20,2018,9.732235319
22,2018,28.86838044
23,2018,38.57316866
25,2018,104.7724553
26,2018,15.99966125
30,2018,16.63500155
31,2018,36.70756182
35,2018,33.83391723
39,2018,29.85430206
40,2018,53.33257943
44,2018,40.55198057
47,2018,19.43869101
56,2018,50.58468126
64,2018,45.66965992
80,2018,33.98975379
93,2018,15.22147909
99,2018,8.938171684
130,2018,55.05803136
176,2018,27.38338574
200,2018,26.20160664
381,2017,33.31261547
439,2017,53.05352695
460,2017,17.97411954
480,2017,17.25584729
540,2017,34.41434207
620,2017,32.06782132
640,2017,30.20132755
740,2017,12.32713827
760,2017,30.23670572
780,2017,63.06905352
800,2017,31.90555281
841,2017,4.596162411
901,2017,12.40166115
919,2017,27.98636793
941,2017,79.11693615
960,2017,21.3156444
980,2017,40.68683016
1337,2018,83.92446367
12B,2018,28.47259804
a,2016,23.79204651
aa,2016,0
ab,2016,19.04780798
ac,2016,14.41653318
b,2016,11.76686769
c,2016,45.51764811
d,2016,38.5695393
e,2016,0
f,2016,9.996263907
g,2016,27.54070831
i,2016,5.521162032
j,2016,8.065838987
k,2016,43.06330001
l,2016,42.97011138
m,2016,17.02084289
n,2016,14.74031914
o,2016,24.4453332
p,2016,30.7616677
r,2016,12.78680616
s,2016,15.31681142
t,2016,28.99360454
u,2016,9.014126132
v,2016,12.04779634
w,2016,28.40486507
x,2016,12.06575266
z,2016,45.24824613