lizard,year,average_dist,,
100,2018,18.06162889, ,
2,2018,12.75659646,,
4,2018,5.965719248,,
7,2018,15.56558101, ,
9,2018,46.03517833, ,
12,2018,32.21179254, ,
13,2018,23.59734104, ,
16,2018,36.94180389, ,
19,2018,26.73160433, ,
20,2018,7.830534164,,
22,2018,24.0165518, ,
23,2018,32.63883502, ,
25,2018,94.95003764, ,
26,2018,10.97119629, ,
30,2018,12.04251646, ,
31,2018,29.22349582, ,
35,2018,25.5817423,,
39,2018,29.85430206, ,
40,2018,51.24110572, ,
44,2018,39.17733716, ,
47,2018,16.38091939, ,
56,2018,43.92880215, ,
64,2018,42.10171774, ,
80,2018,33.98975379, ,
93,2018,14.44487302, ,
99,2018,8.629958868,,
130,2018,45.64021021, ,
176,2018,25.2215395, ,
200,2018,21.66671319, ,
381,2017,23.79472534, ,
439,2017,53.05352695, ,
460,2017,14.67275064, ,
480,2017,15.85672454,,
540,2017,29.49800749, ,
620,2017,32.06782132, ,
640,2017,29.36240178,,
740,2017,12.32713827,,
760,2017,30.23670572, ,
780,2017,57.062477, ,
800,2017,28.64988416, ,
841,2017,3.189873912,,
901,2017,11.40952825,,
919,2017,26.47359128, ,
941,2017,59.77724064, ,
960,2017,16.99073104, ,
980,2017,40.68683016, ,
1337,2018,73.59529891, ,
12B,2018,28.01336259, ,
a,2016,22.09261462, ,
aa,2016,0,,
ab,2016,17.50339112,,
ac,2016,12.74505107, ,
b,2016,11.56043141,,
c,2016,38.00958244, ,
d,2016,33.87864938,, 
e,2016,0,,
f,2016,9.996263907,,
g,2016,22.46741994,,
i,2016,5.153084564,,
j,2016,7.963739759,, 
k,2016,41.40701924,,
l,2016,41.31741479, ,
m,2016,11.47917311, ,
n,2016,13.45855226, ,
o,2016,22.68123699, ,
p,2016,26.86778571, ,
r,2016,12.01184821,,
s,2016,14.24194746,,
t,2016,28.99360454,,
u,2016,7.452623968, ,
v,2016,10.11560259, ,
w,2016,27.56942786, ,
x,2016,8.043835107,,
z,2016,41.89652419, ,