lizard,average_dist
100,58.33041337
2,24.12906534
4,44.35851384
7,62.10108028
9,214.4806923
12,80.01822784
13,48.75962948
16,159.7977691
19,102.4059625
20,160.6878352
22,82.66760356
23,47.49224824
25,210.6533323
26,76.51161356
30,98.55196106
31,164.77251
35,74.59779628
39,59.85206881
40,112.860753
44,60.28406344
47,61.36940674
56,162.2844271
64,104.369189
80,92.60809883
93,88.22280297
99,29.16618711
130,163.728177
176,70.75719249
200,61.60984196
381,65.33373138
439,76.96319526
460,39.72497277
480,32.40337268
540,71.27140295
620,62.34956888
640,74.05968662
740,26.82372761
760,64.58597977
780,87.11895831
800,56.0028213
841,32.65180026
901,37.14687789
919,51.24372796
941,96.07056532
960,56.26177165
980,59.44388626
1337,215.7060982
12B,98.39301971
a,58.11219554
ab,54.60646677
ac,47.7097948
b,52.37816166
c,137.3151457
d,80.87406103
f,19.99252781
g,106.258753
i,34.4132575
j,21.20150212
k,264.5837787
l,138.0438243
m,64.6477295
n,72.54615817
o,74.07585345
p,63.57356414
r,44.70009272
s,48.35971748
t,52.20865668
u,45.05684354
v,47.04100385
w,161.8436773
x,24.13150532
z,83.97600794